date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:42	13377/13377	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2008:58:42%20GMT	http://railwayjobonline.in/index.html	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/index.html	(from )
14:28:42	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-b1d6c303894026ad;gz%22	http://railwayjobonline.in/robots.txt		(from )
14:28:43	110502/110502	---M-Z	200	added ('OK')	text/css	etag:%221afa6-5e4a9304-4a6722c8156e2b07;gz%22	http://railwayjobonline.in/css/style.css	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/css/style.css	(from http://railwayjobonline.in/index.html)
14:28:43	164677/164677	---M-Z	200	added ('OK')	text/css	etag:%2228345-5e4a9304-83273f1433559355;gz%22	http://railwayjobonline.in/css/bootstrap.min.css	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/css/bootstrap.min.css	(from http://railwayjobonline.in/index.html)
14:28:44	6864/6864	---M-Z	200	added ('OK')	text/css	etag:%221ad0-5e4a9304-a593b15545e5bd28;gz%22	http://railwayjobonline.in/css/carouseller.css	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/css/carouseller.css	(from http://railwayjobonline.in/index.html)
14:28:45	13639/13639	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2008:58:45%20GMT	http://railwayjobonline.in/register-form.html	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/register-form.html	(from http://railwayjobonline.in/index.html)
14:28:45	8224/8224	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2008:58:46%20GMT	http://railwayjobonline.in/login.html	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/login.html	(from http://railwayjobonline.in/index.html)
14:28:45	9826/9826	---M--	200	added ('OK')	image/png	etag:%222662-5e4a9304-58bf9ec8136b3cdc;;;%22	http://railwayjobonline.in/images/logo.png	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/logo.png	(from http://railwayjobonline.in/index.html)
14:28:46	13285/13285	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2008:58:46%20GMT	http://railwayjobonline.in/about-us.html	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/about-us.html	(from http://railwayjobonline.in/index.html)
14:28:46	12513/12513	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2008:58:47%20GMT	http://railwayjobonline.in/international-recruitment.html	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/international-recruitment.html	(from http://railwayjobonline.in/index.html)
14:28:47	11783/11783	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2008:58:47%20GMT	http://railwayjobonline.in/job-available.html	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/job-available.html	(from http://railwayjobonline.in/index.html)
14:28:47	12385/12385	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2008:58:48%20GMT	http://railwayjobonline.in/job-place.html	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/job-place.html	(from http://railwayjobonline.in/index.html)
14:28:47	8361/8361	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2008:58:48%20GMT	http://railwayjobonline.in/contact-us.html	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/contact-us.html	(from http://railwayjobonline.in/index.html)
14:28:52	14517/14517	---M--	200	added ('OK')	image/jpeg	etag:%2238b5-5e4a9304-324eb308180dd49b;;;%22	http://railwayjobonline.in/images/customer1.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/customer1.jpg	(from http://railwayjobonline.in/index.html)
14:28:52	51408/51408	---M--	200	added ('OK')	image/jpeg	etag:%22c8d0-5e4a9304-95bf35c38e6bbe48;;;%22	http://railwayjobonline.in/images/slider1.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/slider1.jpg	(from http://railwayjobonline.in/index.html)
14:28:54	44473/44473	---M--	200	added ('OK')	image/jpeg	etag:%22adb9-5e4a9304-abe6efc46ca6449e;;;%22	http://railwayjobonline.in/images/aboutus.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/aboutus.jpg	(from http://railwayjobonline.in/index.html)
14:28:54	52719/52719	---M--	200	added ('OK')	image/jpeg	etag:%22cdef-5e4a9304-578ae497d4cefd7;;;%22	http://railwayjobonline.in/images/slider2.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/slider2.jpg	(from http://railwayjobonline.in/index.html)
14:28:54	14517/14517	---M--	200	added ('OK')	image/jpeg	etag:%2238b5-5e4a9304-a1c5a5de7d757789;;;%22	http://railwayjobonline.in/images/customer3.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/customer3.jpg	(from http://railwayjobonline.in/index.html)
14:28:55	14517/14517	---M--	200	added ('OK')	image/jpeg	etag:%2238b5-5e4a9304-1fdb6e7abde7fbe0;;;%22	http://railwayjobonline.in/images/customer7.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/customer7.jpg	(from http://railwayjobonline.in/index.html)
14:28:56	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-b1d6c303894026ad;gz%22	http://railwayjobonline.in/General_terms_condition_25sep18.pdf	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/General_terms_condition_25sep18.1b.delayed	(from http://railwayjobonline.in/index.html)
14:28:57	51039/51039	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c75f-5e4a9304-171cce5bc7f060bf;gz%22	http://railwayjobonline.in/js/bootstrap.min.js	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/js/bootstrap.min.js	(from http://railwayjobonline.in/index.html)
14:28:57	86927/86927	---M-Z	200	added ('OK')	application/x-javascript	etag:%221538f-5e4a9304-707a288c60abdfa9;gz%22	http://railwayjobonline.in/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/js/jquery-3.3.1.min.js	(from http://railwayjobonline.in/index.html)
